Measure,State,Value,Rank
Depression,AK,19.5,14.0
Depression,AL,22.5,27.0
Depression,ALL,22.0,
Depression,AR,24.2,38.0
Depression,AZ,18.0,9.0
Depression,CA,17.0,5.0
Depression,CO,21.4,21.0
Depression,CT,18.7,12.0
Depression,DC,21.2,
Depression,DE,20.1,16.0
Depression,FL,16.3,3.0
Depression,GA,17.7,7.0
Depression,HI,13.9,1.0
Depression,IA,19.2,13.0
Depression,ID,22.9,29.0
Depression,IL,18.1,10.0
Depression,IN,24.1,36.0
Depression,KS,21.1,19.0
Depression,KY,,
Depression,LA,25.7,42.0
Depression,MA,22.4,26.0
Depression,MD,17.4,6.0
Depression,ME,25.8,43.0
Depression,MI,24.1,36.0
Depression,MN,23.1,31.0
Depression,MO,23.1,31.0
Depression,MS,18.1,10.0
Depression,MT,24.4,39.0
Depression,NC,23.1,31.0
Depression,ND,22.3,25.0
Depression,NE,17.9,8.0
Depression,NH,22.0,24.0
Depression,NJ,13.9,1.0
Depression,NM,23.0,30.0
Depression,NV,20.7,18.0
Depression,NY,16.4,4.0
Depression,OH,25.0,40.0
Depression,OK,25.0,40.0
Depression,OR,25.8,43.0
Depression,PA,,
Depression,RI,21.7,22.0
Depression,SC,21.9,23.0
Depression,SD,23.1,31.0
Depression,TN,27.3,47.0
Depression,TX,19.7,15.0
Depression,UT,26.1,46.0
Depression,VA,20.4,17.0
Depression,VT,25.8,43.0
Depression,WA,23.8,35.0
Depression,WI,22.6,28.0
Depression,WV,31.1,48.0
Depression,WY,21.1,19.0
