,Measure,State,Value,Score,Rank
57628,Depression,HI,13.9,-2.0,1.0
57629,Depression,IA,19.2,-0.79,13.0
57639,Depression,MI,24.1,0.59,36.0
57645,Depression,ND,22.3,0.08,25.0
57666,Depression,WV,31.1,2.0,48.0
57680,Depression - Female,HI,17.4,,2.0
57681,Depression - Female,IA,25.8,,18.0
57691,Depression - Female,MI,31.2,,37.0
57697,Depression - Female,ND,30.5,,33.0
57718,Depression - Female,WV,39.1,,48.0
57732,Depression - Male,HI,10.3,,1.0
57733,Depression - Male,IA,12.4,,8.0
57743,Depression - Male,MI,16.7,,30.0
57749,Depression - Male,ND,14.5,,16.0
57770,Depression - Male,WV,22.9,,48.0
57784,Depression - Ages 18-44,HI,16.2,,1.0
57785,Depression - Ages 18-44,IA,24.0,,17.0
57795,Depression - Ages 18-44,MI,29.5,,39.0
57801,Depression - Ages 18-44,ND,28.5,,35.0
57822,Depression - Ages 18-44,WV,36.5,,48.0
57836,Depression - Ages 45-64,HI,14.0,,2.0
57837,Depression - Ages 45-64,IA,17.9,,12.0
57847,Depression - Ages 45-64,MI,22.7,,32.0
57853,Depression - Ages 45-64,ND,18.5,,13.0
57874,Depression - Ages 45-64,WV,32.8,,48.0
57888,Depression - Age 65+,HI,10.0,,1.0
57889,Depression - Age 65+,IA,12.3,,7.0
57899,Depression - Age 65+,MI,16.8,,36.0
57905,Depression - Age 65+,ND,13.7,,17.0
57926,Depression - Age 65+,WV,21.5,,48.0
57940,Depression - American Indian/Alaska Native,HI,,,
57941,Depression - American Indian/Alaska Native,IA,,,
57951,Depression - American Indian/Alaska Native,MI,,,
57957,Depression - American Indian/Alaska Native,ND,28.7,,14.0
57978,Depression - American Indian/Alaska Native,WV,,,
57992,Depression - Asian,HI,9.7,,7.0
57993,Depression - Asian,IA,,,
58003,Depression - Asian,MI,8.9,,5.0
58009,Depression - Asian,ND,,,
58030,Depression - Asian,WV,,,
58044,Depression - Black,HI,18.4,,25.0
58045,Depression - Black,IA,11.7,,3.0
58055,Depression - Black,MI,19.7,,29.0
58061,Depression - Black,ND,,,
58082,Depression - Black,WV,22.4,,38.0
58096,Depression - Hawaiian/Pacific Islander,HI,9.6,,
58097,Depression - Hawaiian/Pacific Islander,IA,,,
58107,Depression - Hawaiian/Pacific Islander,MI,,,
58113,Depression - Hawaiian/Pacific Islander,ND,,,
58134,Depression - Hawaiian/Pacific Islander,WV,,,
58148,Depression - Hispanic,HI,20.3,,32.0
58149,Depression - Hispanic,IA,13.2,,8.0
58159,Depression - Hispanic,MI,23.6,,37.0
58165,Depression - Hispanic,ND,28.6,,43.0
58186,Depression - Hispanic,WV,26.4,,40.0
58200,Depression - Multiracial,HI,15.5,,1.0
58201,Depression - Multiracial,IA,31.5,,23.0
58211,Depression - Multiracial,MI,32.2,,25.0
58217,Depression - Multiracial,ND,45.1,,45.0
58238,Depression - Multiracial,WV,27.2,,7.0
58252,Depression - White,HI,18.0,,2.0
58253,Depression - White,IA,19.8,,6.0
58263,Depression - White,MI,25.3,,36.0
58269,Depression - White,ND,21.6,,13.0
58290,Depression - White,WV,31.6,,48.0
58304,Depression - College Grad,HI,12.9,,2.0
58305,Depression - College Grad,IA,17.3,,18.0
58315,Depression - College Grad,MI,19.5,,30.0
58321,Depression - College Grad,ND,16.1,,13.0
58342,Depression - College Grad,WV,22.3,,42.0
58356,Depression - High School/GED,HI,12.2,,1.0
58357,Depression - High School/GED,IA,17.3,,11.0
58367,Depression - High School/GED,MI,22.3,,37.0
58373,Depression - High School/GED,ND,19.0,,18.0
58394,Depression - High School/GED,WV,30.6,,48.0
58408,Depression - Less Than High School,HI,15.3,,7.0
58409,Depression - Less Than High School,IA,15.6,,9.0
58419,Depression - Less Than High School,MI,26.3,,34.0
58425,Depression - Less Than High School,ND,31.1,,42.0
58446,Depression - Less Than High School,WV,40.2,,48.0
58460,Depression - Some Post-High School,HI,15.6,,2.0
58461,Depression - Some Post-High School,IA,20.4,,10.0
58471,Depression - Some Post-High School,MI,26.5,,37.0
58477,Depression - Some Post-High School,ND,23.4,,23.0
58498,Depression - Some Post-High School,WV,34.6,,48.0
58512,"Depression - $25,000-$49,999",HI,16.3,,3.0
58513,"Depression - $25,000-$49,999",IA,22.6,,17.0
58523,"Depression - $25,000-$49,999",MI,25.4,,28.0
58529,"Depression - $25,000-$49,999",ND,27.9,,43.0
58550,"Depression - $25,000-$49,999",WV,35.6,,48.0
58564,"Depression - $50,000-$74,999",HI,11.8,,1.0
58565,"Depression - $50,000-$74,999",IA,16.5,,5.0
58575,"Depression - $50,000-$74,999",MI,21.7,,27.0
58581,"Depression - $50,000-$74,999",ND,19.4,,15.0
58602,"Depression - $50,000-$74,999",WV,27.3,,45.0
58616,"Depression - $75,000 or More",HI,11.8,,1.0
58617,"Depression - $75,000 or More",IA,14.1,,5.0
58627,"Depression - $75,000 or More",MI,18.5,,33.0
58633,"Depression - $75,000 or More",ND,16.2,,18.0
58654,"Depression - $75,000 or More",WV,22.4,,47.0
